type	price	quantity
ask	2347.2	0.0095
ask	2347.21	0.0214
ask	2347.22	0.0022
ask	2347.23	0.0027
ask	2347.25	20.4231
ask	2347.26	17.8907
ask	2347.27	0.0394
ask	2347.28	0.0143
ask	2347.29	12.3561
ask	2347.3	19.7112
ask	2347.35	3.6979
ask	2347.36	0.2116
ask	2347.37	0.0141
ask	2347.38	0.4872
ask	2347.39	0.0032
ask	2347.4	0.053
ask	2347.41	9.824
ask	2347.42	21.066
ask	2347.43	11.9271
ask	2347.44	11.1084
